Geography,Estimate; Median year structure built
101,1939
102.01,1941
102.02,1941
103,1939
104,1939
105.01,1939
105.02,1939
105.03,1941
106,1939
107.01,1939
107.02,1939
201,1952
202,1955
203.01,1964
203.02,1939
204,1945
205,1942
206.01,1951
206.02,1939
207.01,1943
207.02,1956
208.01,1939
208.02,1939
209.01,1939
209.02,1958
301.01,1963
301.02,1959
301.03,1939
301.04,1956
302,1939
303,1939
304,1939
305,1939
306.01,1956
306.03,1939
306.04,1962
307.01,1939
307.02,1974
307.03,1967
307.06,1951
308,1939
309,1939
310,1939
311,1939
312,1939
313,1950
314,1959
315.01,1944
315.02,1939
317,1939
318,1939
319,1939
321,1939
401,1939
402.01,1939
402.02,1955
403,1955
404.01,1939
404.02,1939
406,1939
407,1939
408,1939
409,1939
501,1939
502,1939
503,1939
505,1939
506,1939
507,1939
508,1939
509,1939
510,1939
511,1939
512,1939
513,1993
514,1939
601,1939
602,1943
603,1939
604,1974
605,1964
608,1967
609,1963
610,1939
611,1955
612,1939
615,1939
618,1944
619.01,1958
619.02,1957
620,1939
621,1968
622,1981
623,1975
624,1940
625,1970
626,1977
627,1959
628,1939
629,1939
630,1939
631,1939
632,1955
633.01,1949
633.02,1952
633.03,1973
634,1946
701.01,1962
701.02,1961
701.03,1968
702,1942
703,1962
704,1958
705,1962
706,1988
707,1941
710,1939
711,1939
712,1959
713,1941
714,1939
715,1967
716,1952
717,1967
718,1975
801,1961
802.01,1968
802.02,1966
803,1983
804,1979
810,1976
811,1975
812.01,1976
812.02,1964
813,1962
814.01,1973
814.02,1984
814.03,1992
815,1988
816,1994
817,1992
818,2001
819,1973
901,1955
902,1945
903,1947
1001,1952
1002,1952
1003,1954
1004,1953
1005,1953
1006,1953
1007,1956
1101,1941
1102,1939
1103,1953
1104,1953
1105.01,1939
1105.02,1963
1201,1952
1202,1956
1203,1953
1204,1939
1301,1959
1302,1992
1303,1945
1401,1939
1402,1939
1403.01,1945
1403.02,1939
1404,1939
1405,1939
1406.01,1939
1406.02,1939
1407.01,1939
1407.02,1939
1408,1939
1502,1939
1503,1944
1504.01,1939
1504.02,1939
1505.01,1952
1505.02,1939
1506,1939
1507,1939
1508,1939
1510.01,1943
1510.02,1939
1511,1939
1512,1946
1601,1939
1602,1939
1603,1953
1604,1939
1605.01,1939
1605.02,1939
1606.01,1939
1606.02,1939
1607,1939
1608,1939
1609,1939
1610,1939
1611,1939
1612,1948
1613,1939
1701,1995
1702,1939
1703,1953
1704,1955
1705,1955
1706,1952
1707,1956
1708,1948
1709,1956
1710,1949
1711,1941
1801,1947
1901,1941
1902,1939
1903,1939
1904.01,1946
1904.02,1939
1906.01,1939
1906.02,1943
1907.01,1939
1907.02,1939
1908,1939
1909,1939
1910,1939
1911,1944
1912,1939
1913.01,1947
1913.02,1939
2001,1941
2002,1939
2003,1939
2004.01,1939
2004.02,1939
2101,1939
2104,1939
2105.01,1939
2105.02,1939
2106.01,1939
2106.02,1939
2107,1939
2108,1939
2109,1939
2203,1939
2204,1939
2205,1939
2206.01,1939
2206.02,1939
2207.01,1939
2207.02,1939
2209.01,1939
2209.02,1939
2210,1939
2211,1939
2212,1939
2213,1939
2214,1939
2215,1939
2216,1939
2222,1946
2225,1939
2226,1939
2227,1939
2228,1939
2229,1939
2301,1939
2302,1939
2303,1939
2304,1939
2305,1939
2306,1939
2307,1939
2308,1939
2309,1939
2311,1942
2312,1939
2315,1939
2402,1955
2403,1939
2405,1951
2406,1967
2407,1939
2408,1939
2409,1939
2410,1939
2411,1939
2412,1939
2413,1939
2414,1939
2415,1939
2416,1939
2420,1957
2421,1944
2422,1939
2423,1939
2424,1939
2425,1939
2426,1939
2427,1939
2428,1939
2429,1939
2430,1939
2431,1939
2432,1939
2433,1939
2434,1939
2435,1992
2502,1949
2503,1939
2504,1939
2505,1951
2506,1939
2507,1942
2508,1939
2510,1939
2511,1939
2512,1939
2513,1939
2514,1939
2515,1939
2516,1939
2517,1939
2518,1939
2519,1941
2520,1945
2521.01,1939
2521.02,1941
2522.01,1944
2522.02,1939
2601,1943
2602,1941
2603,1939
2604,1939
2605,1939
2606,1939
2607,1939
