statefp10,name10,commarea_n,namelsad10,commarea,geoid10,notes,tractce10,countyfp10,Gini Coefficient,allHouse,Own,Rent,% Houses Owned,% Houses Rented,w,b,a,h,% White,% Black,% Asian,% Hispanic
17,101,1,Census Tract 101,1,17031010100,,10100,31,0.509,2149,439,1710,0.204281061,0.795718939,43,43.5,7.9,8.6,0.43,0.435,0.079,0.086
17,102_01,1,Census Tract 102.01,1,17031010201,,10201,31,0.43,2475,931,1544,0.376161616,0.623838384,41.1,44.1,3.9,16,0.411,0.441,0.039,0.16
17,102_02,1,Census Tract 102.02,1,17031010202,,10202,31,0.462,1133,292,841,0.25772286,0.74227714,51.2,39.8,0,12.4,0.512,0.398,0,0.124
17,103,1,Census Tract 103,1,17031010300,,10300,31,0.434,2750,1059,1691,0.385090909,0.614909091,61.1,26.3,6.3,16.7,0.611,0.263,0.063,0.167
17,104,1,Census Tract 104,1,17031010400,,10400,31,0.487,1943,675,1268,0.347400926,0.652599074,73,16,6.4,14.6,0.73,0.16,0.064,0.146
17,105_01,1,Census Tract 105.01,1,17031010501,,10501,31,0.446,2286,508,1778,0.222222222,0.777777778,54.8,36.5,5.4,6.4,0.548,0.365,0.054,0.064
17,105_02,1,Census Tract 105.02,1,17031010502,,10502,31,0.578,1671,349,1322,0.208856972,0.791143028,65.3,20.5,5.7,11.1,0.653,0.205,0.057,0.111
17,105_03,1,Census Tract 105.03,1,17031010503,,10503,31,0.551,979,213,766,0.217568948,0.782431052,74.1,16.5,8.1,6.7,0.741,0.165,0.081,0.067
17,106,1,Census Tract 106,1,17031010600,,10600,31,0.462,2751,953,1798,0.346419484,0.653580516,58.7,23.6,6.5,19.8,0.587,0.236,0.065,0.198
17,107_01,1,Census Tract 107.01,1,17031010701,,10701,31,0.421,1494,766,728,0.512717537,0.487282463,64.6,17.9,1,27,0.646,0.179,0.01,0.27
17,107_02,1,Census Tract 107.02,1,17031010702,,10702,31,0.462,1936,470,1466,0.242768595,0.757231405,57.3,17.9,3,37.1,0.573,0.179,0.03,0.371
17,201,2,Census Tract 201,2,17031020100,,20100,31,0.418,1397,720,677,0.515390122,0.484609878,60,30.4,8.7,15.6,0.6,0.304,0.087,0.156
17,202,2,Census Tract 202,2,17031020200,,20200,31,0.402,2061,1677,384,0.813682678,0.186317322,63.8,13.5,20.1,5.7,0.638,0.135,0.201,0.057
